,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451319.178290111,1708015.0873754364,2033821.4335221963,1727760.9265358464,1708015.0873754364,1796871.36359728,2142423.5489044497,1708015.0873754364,1747506.765696256,1875854.720238919,2063440.1922628104,1777125.5244368708,1638904.6503140028,1757379.6852764608,1609285.8915733884,1678396.328634822,1678396.328634822,1599412.9719931835,1826490.1223378947,1668523.4090546174,1589540.0524129786,1313098.3041672432,1925219.318139943,2537340.3321126434,1619158.8111535932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063440.1922628104,2221406.9055460882,2359627.7796689556,2507721.5733720283,2863146.6782594025,2784163.321617764,2665688.286655306,2794036.2411979684,2576832.0104334624,2971748.7936416557,2912511.2761604264,2823654.999938583,2774290.402037559,2537340.3321126434,2734798.72371674,2744671.6432969444,2803909.1607781737,2932257.1153208357,2705179.9649761254,2823654.999938583,2665688.286655306,2586704.9300136673,3050732.1502832947,2784163.321617764,2922384.1957406313,3149461.3460853426,3050732.1502832947,2093058.9510034253,2073313.111843016,2112804.790163835,2231279.825126293,2537340.3321126434,2093058.9510034253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717888.0069556416,1905473.4789795333,1806744.283177485,1925219.318139943,2389246.53840957,2527467.412532438,2507721.5733720283,3139588.426505138,3356792.657269644,2813782.080358378,3030986.3111228845,3109969.6677645235,3149461.3460853426,2882892.5174198123,2981621.71322186,3021113.39154268,3297555.1397884153,2971748.7936416557,2922384.1957406313,3139588.426505138,3080350.9090239094,2734798.72371674,2675561.2062355108,2922384.1957406313,3208698.863566572,3366665.5768498485,2882892.5174198123,3287682.220208211,2813782.080358378,2645942.447494896,3346919.737689439,2833527.9195187883,2715052.88455633,2803909.1607781737,2507721.5733720283,2389246.53840957,1875854.720238919,1895600.5593993287,1688269.2482150272,1550048.3740921593,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826490.1223378947,2191788.1468054736,2260898.5838669073,2369500.699249161,2606450.769174077,2675561.2062355108,2843400.8390989928,3139588.426505138,3070477.9894437045,3741836.520897633,3258063.461467596,3396284.3355904636,3218571.7831467767,3376538.4964300543,3218571.7831467767,3218571.7831467767,3633234.4055153797,3475267.6922321026,3060605.069863499,3070477.9894437045,3277809.3006280055,2853273.7586791976,3090223.8286041142,3248190.541887391,3317300.9789488246,3317300.9789488246,3435776.013911283,3228444.7027269816,3327173.89852903,2873019.5978396074,2981621.71322186,2715052.88455633,3060605.069863499,3149461.3460853426,2695307.0453959205,2517594.492952233,2705179.9649761254,2537340.3321126434,1846235.9614983045,2122677.70974404,2527467.412532438,2389246.53840957,2794036.2411979684,2102931.8705836306,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816617.2027576899,1865981.800658714,2152296.4684846546,2102931.8705836306,2616323.688754282,2833527.9195187883,2971748.7936416557,3188953.024406162,2991494.6328020655,3366665.5768498485,3070477.9894437045,3583869.8076143553,3613488.56635497,3337046.818109235,3554251.0488737416,3317300.9789488246,3504886.4509727173,3327173.89852903,3386411.4160102587,3722090.681737223,3554251.0488737416,3880057.3950205008,3554251.0488737416,3386411.4160102587,3495013.531392512,3356792.657269644,3495013.531392512,3820819.8775392715,3485140.611812307,3267936.381047801,3238317.6223071865,3030986.3111228845,2833527.9195187883,3129715.5069249333,2794036.2411979684,2823654.999938583,2803909.1607781737,3139588.426505138,2191788.1468054736,2586704.9300136673,2606450.769174077,2191788.1468054736,2685434.1258157156,2063440.1922628104,2014075.594361787,1925219.318139943,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767252.6048566655,2033821.4335221963,2122677.70974404,2251025.664286703,2705179.9649761254,2438611.1363105946,2636069.5279146913,2774290.402037559,3040859.2307030894,3139588.426505138,2942130.034901041,2873019.5978396074,2774290.402037559,3119842.5873447284,3445648.933491488,3465394.7726518977,4018278.269143369,4018278.269143369,3396284.3355904636,3731963.601317428,3613488.56635497,3820819.8775392715,3850438.636279886,4077515.7866245974,3327173.89852903,3287682.220208211,3643107.3250955846,3860311.5558600905,4057769.947464188,3485140.611812307,3445648.933491488,3435776.013911283,3672726.0838361993,3179080.104825957,3416030.174750873,3277809.3006280055,3129715.5069249333,3238317.6223071865,2961875.874061451,2952002.954481246,3188953.024406162,2774290.402037559,2399119.457989775,2418865.297150185,2468229.8950512093,2102931.8705836306,2053567.2726826062,2093058.9510034253,1777125.5244368708,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796871.36359728,2033821.4335221963,2290517.342607522,2438611.1363105946,2655815.367075101,2379373.6188293654,2794036.2411979684,2991494.6328020655,3159334.265665548,3238317.6223071865,2912511.2761604264,3435776.013911283,3860311.5558600905,3119842.5873447284,3682599.0034164037,3810946.9579590666,3791201.1187986573,4284847.097808899,3978786.5908225495,3633234.4055153797,3445648.933491488,3465394.7726518977,4028151.188723574,4235482.499907875,3731963.601317428,3761582.3600580427,3929421.992921525,4117007.464945416,4304592.936969309,4265101.2586484905,3495013.531392512,3870184.475440296,3356792.657269644,3465394.7726518977,3771455.2796382476,3514759.3705529217,3258063.461467596,3593742.72719456,3021113.39154268,3218571.7831467767,3248190.541887391,3159334.265665548,2991494.6328020655,3109969.6677645235,2655815.367075101,2389246.53840957,2172042.3076450643,2241152.744706498,2231279.825126293,1826490.1223378947,1836363.0419180996,1954838.076880558,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152296.4684846546,2211533.9859658834,2260898.5838669073,2389246.53840957,2803909.1607781737,3327173.89852903,2942130.034901041,3455521.853071693,4107134.5453652125,2971748.7936416557,3643107.3250955846,4225609.58032767,3652980.2446757895,3761582.3600580427,3712217.7621570183,3870184.475440296,3889930.3146007056,4235482.499907875,3751709.440477838,3830692.7971194764,3346919.737689439,4008405.3495631637,4492178.4089932,3860311.5558600905,3880057.3950205008,4324338.776129718,3791201.1187986573,4274974.178228694,3870184.475440296,4156499.143266237,3988659.5104027544,3682599.0034164037,4146626.223686032,3593742.72719456,3475267.6922321026,3327173.89852903,3425903.094331078,3702344.8425768134,3435776.013911283,3416030.174750873,3485140.611812307,2892765.437000017,2961875.874061451,3386411.4160102587,2873019.5978396074,2724925.8041365347,2487975.7342116185,2389246.53840957,2142423.5489044497,2320136.1013481366,2033821.4335221963,2073313.111843016,1757379.6852764608,1836363.0419180996,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915346.3985597382,2112804.790163835,2586704.9300136673,2645942.447494896,2685434.1258157156,3248190.541887391,2991494.6328020655,3228444.7027269816,3445648.933491488,3889930.3146007056,3889930.3146007056,4126880.384525621,3820819.8775392715,3909676.153761116,3672726.0838361993,4304592.936969309,3959040.7516621402,4531670.08731402,4225609.58032767,4344084.615290129,3919549.0733413203,3564123.9684539456,3978786.5908225495,3801074.0383788617,4324338.776129718,4087388.7062048023,4067642.8670443925,3880057.3950205008,3899803.23418091,4215736.660747466,4156499.143266237,3830692.7971194764,3909676.153761116,3870184.475440296,4215736.660747466,4057769.947464188,3870184.475440296,3702344.8425768134,3741836.520897633,3672726.0838361993,3337046.818109235,3731963.601317428,3544378.129293536,3465394.7726518977,3682599.0034164037,2942130.034901041,3356792.657269644,3001367.552382271,2754544.5628771493,2586704.9300136673,2576832.0104334624,2695307.0453959205,2557086.1712730527,2211533.9859658834,2083186.0314232206,1658650.4894744123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648777.5698942076,2142423.5489044497,2507721.5733720283,2448484.0558907995,2803909.1607781737,3317300.9789488246,3297555.1397884153,3297555.1397884153,3514759.3705529217,3583869.8076143553,3968913.6712423447,3820819.8775392715,4117007.464945416,3603615.6467747656,4067642.8670443925,4136753.304105827,4195990.821587056,3623361.4859351753,4008405.3495631637,4373703.374030743,4067642.8670443925,4452686.730672381,3840565.7166996812,4492178.4089932,4097261.6257850067,4028151.188723574,4334211.695709923,3949167.8320819354,3889930.3146007056,3889930.3146007056,4186117.9020068506,4097261.6257850067,3485140.611812307,3593742.72719456,3672726.0838361993,3959040.7516621402,3643107.3250955846,3593742.72719456,3791201.1187986573,3968913.6712423447,4008405.3495631637,3751709.440477838,3682599.0034164037,3899803.23418091,3761582.3600580427,3712217.7621570183,3425903.094331078,3297555.1397884153,3287682.220208211,3149461.3460853426,3100096.7481843187,2922384.1957406313,3011240.471962475,2754544.5628771493,2408992.37756998,2172042.3076450643,2112804.790163835,1757379.6852764608,,,,,,,,,,,,,
