,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128787.8787878788,159090.9090909091,155303.0303030303,147727.27272727274,167929.29292929295,185606.0606060606,170454.54545454547,174242.42424242425,156565.65656565657,167929.29292929295,166666.6666666667,171717.17171717173,155303.0303030303,199494.9494949495,146464.64646464647,162878.7878787879,174242.42424242425,159090.9090909091,151515.15151515152,138888.8888888889,150252.52525252526,151515.15151515152,133838.38383838386,164141.41414141416,155303.0303030303,136363.63636363638,150252.52525252526,142676.7676767677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193181.8181818182,200757.57575757577,178030.30303030304,212121.21212121213,222222.22222222225,217171.71717171717,222222.22222222225,215909.0909090909,226010.10101010103,234848.48484848486,190656.56565656565,200757.57575757577,242424.24242424243,222222.22222222225,207070.70707070708,248737.37373737374,195707.07070707073,214646.46464646465,155303.0303030303,214646.46464646465,184343.43434343435,186868.68686868687,191919.19191919194,166666.6666666667,224747.47474747477,258838.38383838386,255050.50505050507,190656.56565656565,189393.9393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131313.1313131313,154040.40404040404,150252.52525252526,133838.38383838386,179292.9292929293,170454.54545454547,185606.0606060606,218434.34343434343,260101.01010101012,220959.595959596,218434.34343434343,229797.97979797982,273989.898989899,218434.34343434343,223484.8484848485,239898.9898989899,263888.8888888889,227272.7272727273,209595.9595959596,224747.47474747477,205808.08080808082,214646.46464646465,214646.46464646465,204545.45454545456,233585.8585858586,213383.8383838384,203282.8282828283,167929.29292929295,246212.12121212122,324494.94949494954,207070.70707070708,191919.19191919194,165404.04040404042,126262.62626262628,135101.01010101012,161616.16161616164,181818.18181818182,126262.62626262628,146464.64646464647,165404.04040404042,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212121.21212121213,204545.45454545456,271464.6464646465,222222.22222222225,263888.8888888889,284090.9090909091,301767.6767676768,320707.0707070707,366161.61616161617,356060.6060606061,340909.09090909094,357323.23232323234,329545.4545454546,380050.50505050505,372474.7474747475,361111.1111111111,354797.9797979798,324494.94949494954,349747.4747474748,351010.10101010103,358585.8585858586,375000.0,345959.595959596,361111.1111111111,340909.09090909094,330808.08080808085,390151.5151515152,356060.6060606061,373737.37373737374,402777.7777777778,390151.5151515152,267676.7676767677,265151.5151515152,270202.02020202024,285353.5353535354,324494.94949494954,267676.7676767677,207070.70707070708,193181.8181818182,198232.32323232325,199494.9494949495,184343.43434343435,160353.53535353535,174242.42424242425,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161616.16161616164,186868.68686868687,166666.6666666667,228535.35353535356,219696.9696969697,243686.8686868687,231060.60606060608,246212.12121212122,305555.55555555556,323232.3232323233,320707.0707070707,401515.15151515155,429292.9292929293,359848.48484848486,387626.2626262627,397727.27272727276,402777.7777777778,368686.8686868687,381313.1313131313,386363.6363636364,421717.17171717173,380050.50505050505,373737.37373737374,401515.15151515155,393939.393939394,349747.4747474748,342171.7171717172,373737.37373737374,410353.5353535354,430555.55555555556,368686.8686868687,420454.54545454547,359848.48484848486,338383.8383838384,428030.30303030304,362373.7373737374,347222.22222222225,358585.8585858586,320707.0707070707,305555.55555555556,239898.9898989899,242424.24242424243,215909.0909090909,198232.32323232325,189393.9393939394,202020.20202020204,185606.0606060606,186868.68686868687,147727.27272727274,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169191.9191919192,181818.18181818182,196969.696969697,200757.57575757577,233585.8585858586,280303.03030303033,289141.41414141416,303030.30303030304,333333.3333333334,342171.7171717172,363636.36363636365,401515.15151515155,392676.7676767677,478535.35353535356,416666.6666666667,434343.43434343435,411616.16161616164,431818.1818181818,411616.16161616164,411616.16161616164,464646.4646464647,444444.4444444445,391414.14141414146,392676.7676767677,419191.9191919192,364898.9898989899,395202.02020202024,415404.0404040404,424242.42424242425,424242.42424242425,439393.9393939394,412878.7878787879,425505.0505050505,367424.24242424243,381313.1313131313,347222.22222222225,391414.14141414146,402777.7777777778,344696.9696969697,321969.69696969696,345959.595959596,324494.94949494954,236111.11111111112,271464.6464646465,323232.3232323233,305555.55555555556,357323.23232323234,268939.393939394,203282.8282828283,171717.17171717173,181818.18181818182,,,234848.48484848486,310606.0606060606,159090.9090909091,181818.18181818182,224747.47474747477,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162878.7878787879,204545.45454545456,202020.20202020204,241161.61616161617,232323.23232323234,238636.36363636365,275252.5252525253,268939.393939394,334595.95959595963,362373.7373737374,380050.50505050505,407828.28282828286,382575.7575757576,430555.55555555556,392676.7676767677,458333.3333333334,462121.21212121216,426767.6767676768,454545.4545454546,424242.42424242425,448232.3232323233,425505.0505050505,433080.8080808081,476010.10101010103,454545.4545454546,496212.1212121212,454545.4545454546,433080.8080808081,446969.696969697,429292.9292929293,446969.696969697,488636.36363636365,445707.07070707076,417929.29292929295,414141.41414141416,387626.2626262627,362373.7373737374,400252.5252525253,357323.23232323234,361111.1111111111,358585.8585858586,401515.15151515155,280303.03030303033,330808.08080808085,333333.3333333334,280303.03030303033,343434.34343434346,263888.8888888889,257575.7575757576,246212.12121212122,223484.8484848485,186868.68686868687,150252.52525252526,143939.39393939395,142676.7676767677,204545.45454545456,275252.5252525253,246212.12121212122,219696.9696969697,161616.16161616164,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188131.31313131313,179292.9292929293,226010.10101010103,260101.01010101012,271464.6464646465,287878.7878787879,345959.595959596,311868.68686868687,337121.21212121216,354797.9797979798,388888.88888888893,401515.15151515155,376262.62626262626,367424.24242424243,354797.9797979798,398989.898989899,440656.5656565657,443181.81818181823,513888.88888888893,513888.88888888893,434343.43434343435,477272.7272727273,462121.21212121216,488636.36363636365,492424.24242424243,521464.6464646465,425505.0505050505,420454.54545454547,465909.09090909094,493686.8686868687,518939.393939394,445707.07070707076,440656.5656565657,439393.9393939394,469696.9696969697,406565.6565656566,436868.68686868687,419191.9191919192,400252.5252525253,414141.41414141416,378787.8787878788,377525.2525252525,407828.28282828286,354797.9797979798,306818.1818181818,309343.43434343435,315656.56565656565,268939.393939394,262626.2626262626,267676.7676767677,227272.7272727273,186868.68686868687,183080.80808080808,185606.0606060606,205808.08080808082,151515.15151515152,199494.9494949495,207070.70707070708,147727.27272727274,171717.17171717173,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175505.05050505052,198232.32323232325,229797.97979797982,260101.01010101012,292929.29292929295,311868.68686868687,339646.4646464647,304292.9292929293,357323.23232323234,382575.7575757576,404040.4040404041,414141.41414141416,372474.7474747475,439393.9393939394,493686.8686868687,398989.898989899,470959.595959596,487373.7373737374,484848.48484848486,547979.797979798,508838.3838383839,464646.4646464647,440656.5656565657,443181.81818181823,515151.5151515152,541666.6666666667,477272.7272727273,481060.6060606061,502525.2525252526,526515.1515151515,550505.0505050506,545454.5454545455,446969.696969697,494949.49494949495,429292.9292929293,443181.81818181823,482323.23232323234,449494.94949494954,416666.6666666667,459595.95959595963,386363.6363636364,411616.16161616164,415404.0404040404,404040.4040404041,382575.7575757576,397727.27272727276,339646.4646464647,305555.55555555556,277777.7777777778,286616.16161616164,285353.5353535354,233585.8585858586,234848.48484848486,250000.00000000003,228535.35353535356,190656.56565656565,186868.68686868687,178030.30303030304,195707.07070707073,204545.45454545456,150252.52525252526,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166666.6666666667,198232.32323232325,186868.68686868687,275252.5252525253,282828.28282828286,289141.41414141416,305555.55555555556,358585.8585858586,425505.0505050505,376262.62626262626,441919.191919192,525252.5252525252,380050.50505050505,465909.09090909094,540404.0404040405,467171.7171717172,481060.6060606061,474747.4747474748,494949.49494949495,497474.7474747475,541666.6666666667,479797.9797979798,489898.9898989899,428030.30303030304,512626.2626262627,574494.9494949495,493686.8686868687,496212.1212121212,553030.3030303031,484848.48484848486,546717.1717171718,494949.49494949495,531565.6565656567,510101.01010101015,470959.595959596,530303.0303030304,459595.95959595963,444444.4444444445,425505.0505050505,438131.31313131313,473484.8484848485,439393.9393939394,436868.68686868687,445707.07070707076,369949.49494949495,378787.8787878788,433080.8080808081,367424.24242424243,348484.8484848485,318181.8181818182,305555.55555555556,273989.898989899,296717.17171717173,260101.01010101012,265151.5151515152,224747.47474747477,234848.48484848486,194444.44444444447,195707.07070707073,210858.58585858587,215909.0909090909,147727.27272727274,,,,,,,,,,
