File,Channel,<Counts>,Counts_std,<N_p>,N_p_err,<C>,C_err,C_median,C_median_abs_err
cell1-1159-cyt1-GFP-None_200nm_4.36us_2uW,2,7.308668076109937,0.03534890761581623,4.211809089086452,1.2635427267259356,26.492564585840405,12.41172919266528,25.373700128353367,7.249628608100963
cell1-1406-cyt1-GFP-None_200nm_4.36us_2uW,2,10.818748377044923,0.047181577841463644,6.234583685079598,1.8703751055238793,39.21595386903537,18.372619150456657,39.872957344555296,10.874442912151437
cell1-1736-cyt1-GFP-None_200nm_4.36us_2uW,2,9.999005874378671,0.03858384792610977,5.762185857255701,1.72865575717671,36.2445395197326,16.98051571316024,36.24814304050481,10.87444291215144
